Tahun,PDB Transportasi,IHK Transport,Suku Bunga,Penjualan,,
2016-1-1,,137.32,7.25,10,,
2016-2-1,,136.97,7,20,,
2016-3-1,"307,373.81",136.49,6.75,43,,
2016-4-1,,133.19,6.75,49,,
2016-5-1,,133.59,6.5,32,,
2016-6-1,"311,036.38",134.82,6.5,16,,
2016-7-1,,137.28,6.5,17,,
2016-8-1,,135.23,5.25,13,,
2016-9-1,"324,001.99",135.01,5,18,,
2016-10-1,,135.10,4.75,18,,
2016-11-1,,135.02,4.75,15,,
2016-12-1,"323,758.05",136.74,4.75,3,,
2017-1-1,,137.32,4.75,5,,
2017-2-1,,137.09,4.75,529,,
2017-3-1,"323,737.42",137.21,4.75,216,,
2017-4-1,,137.60,4.75,238,,
2017-5-1,,138.26,4.75,173,,
2017-6-1,"328,325.83",140.87,4.75,172,,
2017-7-1,,140.78,4.75,243,,
2017-8-1,,139.42,4.5,147,,
2017-9-1,"341,798.90",139.41,4.25,53,,
2017-10-1,,139.11,4.25,82,,
2017-11-1,,139.26,4.25,90,,
2017-12-1,"340,511.95",140.89,4.25,141,,
2018-1-1,,140.17,4.25,1,,
2018-2-1,,140.15,4.25,8,,
2018-3-1,"339,691.64",140.68,4.25,7,,
2018-4-1,,141.07,4.25,5,,
2018-5-1,,141.48,4.25,4,,
2018-6-1,"347,008.26",144.67,5.25,4,,
2018-7-1,,142.61,5.25,4,,
2018-8-1,,142.26,5.5,14,,
2018-9-1,"360,116.60",142.08,5.75,16,,
2018-10-1,,142.55,5.75,0,,
2018-11-1,,143.57,6,9,,
2018-12-1,"360,556.51",146.34,6,8,,
2019-1-1,,145.87,6,6,,
2019-2-1,,145.98,6,24,,
2019-3-1,"357,092.58",146.15,6,24,,
2019-4-1,,146.75,6,86,,
2019-5-1,,147.83,6,131,,
2019-6-1,"364,618.75",147.48,6,52,,
2019-7-1,,146.62,5.75,59,,
2019-8-1,,145.30,5.5,164,,
2019-9-1,"376,648.13",145.30,5.25,90,,
2019-10-1,,145.07,5,83,,
2019-11-1,,144.91,5,76,,
2019-12-1,"376,325.65",146.18,5,59,,
2020-1-1,,102.97,5,56,,
2020-2-1,,102.59,4.75,87,,
2020-3-1,"351,048.99",102.15,4.5,90,,
2020-4-1,,101.72,4.5,11,,
2020-5-1,,102.61,4.5,3,,
2020-6-1,"308,718.51",103.03,4.25,31,,
2020-7-1,,102.85,4,63,,
2020-8-1,,102.71,4,137,,
2020-9-1,"333,089.69",102.37,4,237,,
2020-10-1,,102.23,4,251,,
2020-11-1,,102.54,3.75,187,,
2020-12-1,"340,751.77",103.01,3.75,183,,
2021-1-1,,102.70,3.75,276,,
2021-2-1,,103.01,3.5,460,,
2021-3-1,"336,088.07",102.75,3.5,400,,
2021-4-1,,102.75,3.5,400,,
2021-5-1,,103.48,3.5,197,,
2021-6-1,"340,929.71",103.12,3.5,168,,
2021-7-1,,103.11,3.5,132,,
2021-8-1,,103.06,3.5,210,,
2021-9-1,"332,299.98",103.13,3.5,149,,
2021-10-1,,103.47,3.5,205,,
2021-11-1,,104.00,3.5,258,,
2021-12-1,"358,853.62",104.64,3.5,348,,
2022-1-1,,104.66,3.5,131,,
2022-2-1,,104.73,3.5,357,,
2022-3-1,"359,760.02",105.17,3.5,232,,
2022-4-1,,107.72,3.5,300,,
2022-5-1,,108.42,3.5,1407,,
2022-6-1,"373,953.79",108.74,3.5,1393,,
2022-7-1,,109.97,3.5,1031,,
2022-8-1,,109.88,3.75,1815,,
2022-9-1,"375,064.63",119.64,4.25,2801,,
2022-10-1,,120.06,4.75,2803,,
2022-11-1,,120.07,5.25,3166,,
2022-12-1,"387,764.48",120.61,5.5,5245,,20681
2023-1-1,,119.22,5.75,2576,,
2023-2-1,,118.96,5.75,2367,,
2023-3-1,"388,132.27",119.60,5.75,3275,,
2023-4-1,,120.60,5.75,4159,,
2023-5-1,,119.93,5.75,4864,,
2023-6-1,"402,378.55",119.81,5.75,5968,,
2023-7-1,,120.50,5.75,6828,,
2023-8-1,,120.48,5.75,8521,,
2023-9-1,"403,857.80",120.83,5.75,7046,,
2023-10-1,,121.50,6,6354,,
2023-11-1,,121.59,6,8352,,
2023-12-1,"415,834.62",122.14,6,9619,,
2024-1-1,,108.85,6,7176,,
2024-2-1,,109.04,6,4999,,
2024-3-1,"413,015.72",109.08,6,6966,,
2024-4-1,,110.09,6.25,5259,,
2024-5-1,,109.69,6.25,6054,,
2024-6-1,"429,891.83",109.81,6.25,7879,,
2024-7-1,,109.84,6.25,9292,,
2024-8-1,,110.08,6.25,10975,,
2024-9-1,"430,268.71",109.90,6,10426,,
2024-10-1,,109.33,6,10159,,
2024-11-1,,109.44,6,10481,,
2024-12-1,"442,673.80",109.48,6,10148,,