Tahun,PDB,Inflasi,Suku Bunga,Penjualan,PDB Transportasi,IHK Transport
2016-1-1,2193600.333,4.14,7.25,10,"307,314.86",137.32
2016-2-1,2229160.667,4.42,7,20,"307,344.34",136.97
2016-3-1,2264721,4.45,6.75,43,"307,373.81",136.49
2016-4-1,2294962.333,3.6,6.75,49,"308,594.67",133.19
2016-5-1,2325203.667,3.33,6.5,32,"309,815.52",133.59
2016-6-1,2355445,3.45,6.5,16,"311,036.38",134.82
2016-7-1,2380050.2,3.21,6.5,17,"315,358.25",137.28
2016-8-1,2404655.4,2.79,5.25,13,"319,680.12",135.23
2016-9-1,2429260.6,3.07,5,18,"324,001.99",135.01
2016-10-1,2414569.333,3.31,4.75,18,"323,920.68",135.10
2016-11-1,2399878.067,3.58,4.75,15,"323,839.36",135.02
2016-12-1,2385186.8,3.02,4.75,3,"323,758.05",136.74
2017-1-1,2382840,3.49,4.75,5,"323,751.17",137.32
2017-2-1,2380493.2,3.83,4.75,529,"323,744.30",137.09
2017-3-1,2378146.4,3.61,4.75,216,"323,737.42",137.21
2017-4-1,2409935.233,4.17,4.75,238,"325,266.89",137.60
2017-5-1,2441724.067,4.33,4.75,173,"326,796.36",138.26
2017-6-1,2473512.9,4.37,4.75,172,"328,325.83",140.87
2017-7-1,2499774.233,3.88,4.75,243,"332,816.85",140.78
2017-8-1,2526035.567,3.82,4.5,147,"337,307.88",139.42
2017-9-1,2552296.9,3.72,4.25,53,"341,798.90",139.41
2017-10-1,2537855.233,3.58,4.25,82,"341,369.92",139.11
2017-11-1,2523413.567,3.3,4.25,90,"340,940.93",139.26
2017-12-1,2508971.9,3.61,4.25,141,"340,511.95",140.89
2018-1-1,2505547.1,3.25,4.25,151,"340,238.51",140.17
2018-2-1,2502122.3,3.18,4.25,179,"339,965.08",140.15
2018-3-1,2498697.5,3.4,4.25,176,"339,691.64",140.68
2018-4-1,2533749.2,3.41,4.25,153,"342,130.51",141.07
2018-5-1,2568800.9,3.23,4.25,6,"344,569.39",141.48
2018-6-1,2603852.6,3.12,5.25,4,"347,008.26",144.67
2018-7-1,2630679.133,3.18,5.25,4,"351,377.71",142.61
2018-8-1,2657505.667,3.2,5.5,14,"355,747.15",142.26
2018-9-1,2684332.2,2.88,5.75,16,"360,116.60",142.08
2018-10-1,2669211.333,3.16,5.75,0,"360,263.24",142.55
2018-11-1,2654090.467,3.23,6,9,"360,409.87",143.57
2018-12-1,2638969.6,3.13,6,8,"360,556.51",146.34
2019-1-1,2634373.233,2.82,6,6,"359,401.87",145.87
2019-2-1,2629776.867,2.57,6,24,"358,247.22",145.98
2019-3-1,2625180.5,2.48,6,24,"357,092.58",146.15
2019-4-1,2661925.033,2.83,6,86,"359,601.30",146.75
2019-5-1,2698669.567,3.32,6,131,"362,110.03",147.83
2019-6-1,2735414.1,3.28,6,52,"364,618.75",147.48
2019-7-1,2763213.633,3.32,5.75,59,"368,628.54",146.62
2019-8-1,2791013.167,3.49,5.5,164,"372,638.34",145.30
2019-9-1,2818812.7,3.39,5.25,90,"376,648.13",145.30
2019-10-1,2802457.833,3.13,5,83,"376,540.64",145.07
2019-11-1,2786102.967,3,5,76,"376,433.14",144.91
2019-12-1,2769748.1,2.72,5,59,"376,325.65",146.18
2020-1-1,2747507.767,2.68,5,56,"367,900.10",102.97
2020-2-1,2725267.433,2.98,4.75,87,"359,474.54",102.59
2020-3-1,2703027.1,2.96,4.5,90,"351,048.99",102.15
2020-4-1,2665274.467,2.67,4.5,11,"336,938.83",101.72
2020-5-1,2627521.833,2.19,4.5,3,"322,828.67",102.61
2020-6-1,2589769.2,1.96,4.25,31,"308,718.51",103.03
2020-7-1,2633339.9,1.54,4,63,"316,842.24",102.85
2020-8-1,2676910.6,1.32,4,137,"324,965.96",102.71
2020-9-1,2720481.3,1.42,4,237,"333,089.69",102.37
2020-10-1,2716894.767,1.44,4,251,"335,643.72",102.23
2020-11-1,2713308.233,1.59,3.75,187,"338,197.74",102.54
2020-12-1,2709721.7,1.68,3.75,183,"340,751.77",103.01
2021-1-1,2701296.3,1.55,3.75,276,"339,197.20",102.70
2021-2-1,2692870.9,1.38,3.5,460,"337,642.64",103.01
2021-3-1,2684445.5,1.37,3.5,400,"336,088.07",102.75
2021-4-1,2713985.4,1.42,3.5,400,"337,701.95",102.75
2021-5-1,2743525.3,1.68,3.5,197,"339,315.83",103.48
2021-6-1,2773065.2,1.33,3.5,168,"340,929.71",103.12
2021-7-1,2787540.833,1.52,3.5,132,"338,053.13",103.11
2021-8-1,2802016.467,1.59,3.5,210,"335,176.56",103.06
2021-9-1,2816492.1,1.6,3.5,149,"332,299.98",103.13
2021-10-1,2826347.033,1.66,3.5,205,"341,151.19",103.47
2021-11-1,2836201.967,1.75,3.5,258,"350,002.41",104.00
2021-12-1,2846056.9,1.87,3.5,348,"358,853.62",104.64
2022-1-1,2837148.533,2.18,3.5,131,"359,155.75",104.66
2022-2-1,2828240.167,2.06,3.5,357,"359,457.89",104.73
2022-3-1,2819331.8,2.64,3.5,232,"359,760.02",105.17
2022-4-1,2854369.2,3.47,3.5,300,"364,491.28",107.72
2022-5-1,2889406.6,3.55,3.5,1407,"369,222.53",108.42
2022-6-1,2924444,4.35,3.5,1393,"373,953.79",108.74
2022-7-1,2942269.333,4.94,3.5,1031,"374,324.07",109.97
2022-8-1,2960094.667,4.69,3.75,1815,"374,694.35",109.88
2022-9-1,2977920,5.95,4.25,2801,"375,064.63",119.64
2022-10-1,2981455.8,5.71,4.75,2803,"379,297.91",120.06
2022-11-1,2984991.6,5.42,5.25,3166,"383,531.20",120.07
2022-12-1,2988527.4,5.51,5.5,5245,"387,764.48",120.61
2023-1-1,2979539.733,5.28,5.75,2576,"387,887.08",119.22
2023-2-1,2970552.067,5.47,5.75,2367,"388,009.67",118.96
2023-3-1,2961564.4,4.97,5.75,3275,"388,132.27",119.60
2023-4-1,2999636.9,4.33,5.75,4159,"392,881.03",120.60
2023-5-1,3037709.4,4,5.75,4864,"397,629.79",119.93
2023-6-1,3075781.9,3.52,5.75,5968,"402,378.55",119.81
2023-7-1,3092177.333,3.08,5.75,6828,"402,871.63",120.50
2023-8-1,3108572.767,3.27,5.75,8521,"403,364.72",120.48
2023-9-1,3124968.2,2.28,5.75,7046,"403,857.80",120.83
2023-10-1,3129699,2.56,6,6354,"407,850.07",121.50
2023-11-1,3134429.8,2.86,6,8352,"411,842.35",121.59
2023-12-1,3139160.6,2.61,6,9619,"415,834.62",122.14
2024-1-1,3130453.7,2.57,6,7176,"414,894.99",108.85
2024-2-1,3121746.8,2.75,6,4999,"413,955.35",109.04
2024-3-1,3113039.9,3.05,6,6966,"413,015.72",109.08
2024-4-1,3152356.7,3,6.25,5259,"418,641.09",110.09
2024-5-1,3191673.5,2.84,6.25,6054,"424,266.46",109.69
2024-6-1,3230990.3,2.51,6.25,7879,"429,891.83",109.81
2024-7-1,3247163.467,2.13,6.25,9292,"430,017.46",109.84
2024-8-1,3263336.633,2.12,6.25,10975,"430,143.08",110.08
2024-9-1,3279509.8,1.84,6,10426,"430,268.71",109.90
2024-10-1,3285253.767,1.71,6,10159,"434,403.74",109.33
2024-11-1,3290997.733,1.55,6,10481,"438,538.77",109.44
2024-12-1,3296741.7,1.57,6,10148,"442,673.80",109.48