Tahun,PDB
2012-12-1,"2,158,040.00"
2016-1-1,
2016-2-1,
2016-3-1,"2,264,721.00"
2016-4-1,
2016-5-1,
2016-6-1,"2,355,445.00"
2016-7-1,
2016-8-1,
2016-9-1,"2,429,260.60"
2016-10-1,
2016-11-1,
2016-12-1,"2,385,186.80"
2017-1-1,
2017-2-1,
2017-3-1,"2,378,146.40"
2017-4-1,
2017-5-1,
2017-6-1,"2,473,512.90"
2017-7-1,
2017-8-1,
2017-9-1,"2,552,296.90"
2017-10-1,
2017-11-1,
2017-12-1,"2,508,971.90"
2018-1-1,
2018-2-1,
2018-3-1,"2,498,697.50"
2018-4-1,
2018-5-1,
2018-6-1,"2,603,852.60"
2018-7-1,
2018-8-1,
2018-9-1,"2,684,332.20"
2018-10-1,
2018-11-1,
2018-12-1,"2,638,969.60"
2019-1-1,
2019-2-1,
2019-3-1,"2,625,180.50"
2019-4-1,
2019-5-1,
2019-6-1,"2,735,414.10"
2019-7-1,
2019-8-1,
2019-9-1,"2,818,812.70"
2019-10-1,
2019-11-1,
2019-12-1,"2,769,748.10"
2020-1-1,
2020-2-1,
2020-3-1,"2,703,027.10"
2020-4-1,
2020-5-1,
2020-6-1,"2,589,769.20"
2020-7-1,
2020-8-1,
2020-9-1,"2,720,481.30"
2020-10-1,
2020-11-1,
2020-12-1,"2,709,721.70"
2021-1-1,
2021-2-1,
2021-3-1,"2,684,445.50"
2021-4-1,
2021-5-1,
2021-6-1,"2,773,065.20"
2021-7-1,
2021-8-1,
2021-9-1,"2,816,492.10"
2021-10-1,
2021-11-1,
2021-12-1,"2,846,056.90"
2022-1-1,
2022-2-1,
2022-3-1,"2,819,331.80"
2022-4-1,
2022-5-1,
2022-6-1,"2,924,444.00"
2022-7-1,
2022-8-1,
2022-9-1,"2,977,920.00"
2022-10-1,
2022-11-1,
2022-12-1,"2,988,527.40"
2023-1-1,
2023-2-1,
2023-3-1,"2,961,564.40"
2023-4-1,
2023-5-1,
2023-6-1,"3,075,781.90"
2023-7-1,
2023-8-1,
2023-9-1,"3,124,968.20"
2023-10-1,
2023-11-1,
2023-12-1,"3,139,160.60"
2024-1-1,
2024-2-1,
2024-3-1,"3,113,039.90"
2024-4-1,
2024-5-1,
2024-6-1,"3,230,990.30"
2024-7-1,
2024-8-1,
2024-9-1,"3,279,509.80"
2024-10-1,
2024-11-1,
2024-12-1,"3,296,741.70"